LF0,LF1,LF2,LF3,HF0,HF1,HF2,HF3,x,y
7.853333333329715,2.94199999999023,-1.5996666666850956,7.840666666680818,10.262937285290414,4.694480175153918,3.6302548165277573,4.270129282172761,0.0,5700.0
22.294333333334748,5.378333333325713,-0.4773333333218943,11.975999999975784,15.589250394280421,8.127203211366286,6.2424445811364695,6.777314190670228,1800.0,5700.0
24.252000000011265,11.200666666688619,1.5363333332985007,18.68399999999326,19.1387373784809,11.504742876410695,4.762155978386937,9.022870854363012,3600.0,5700.0
22.353333333313685,16.099666666669066,0.4773333333218943,23.134999999996353,21.28100830010634,18.938110084026096,6.0437367884661555,13.60947533490998,5400.0,5700.0
21.65900000001386,18.872666666673865,3.120333333370695,21.04800000001461,17.98392684258478,21.55631379465215,9.302634497649782,16.849504749095015,7200.0,5700.0
19.830333333317185,25.934000000020774,6.527666666684695,21.676666666650135,13.496580519097009,24.601838607523092,8.388261494638106,17.165121586318786,9000.0,5700.0
15.669000000002598,34.14099999996978,4.583000000017989,28.08633333334143,12.254695076276926,27.89895245385613,8.045640947775595,19.54354576168639,10800.0,5700.0
16.64499999996849,27.590666666625907,3.2873333332972265,33.677666666633854,12.440990517838292,30.17146177256654,9.669378272656687,19.865755728086672,12600.0,5700.0
17.747666666672046,25.200333333330605,0.577666666679022,30.135999999991725,8.589724410199883,20.938999418587084,8.784708825783964,15.700797207377292,14400.0,5700.0
13.874333333347977,17.36633333329962,-0.09033333334684812,25.210999999991657,7.745683211728054,16.970651519583114,6.095037074365778,12.022437739836725,16200.0,5700.0
13.220666666704517,14.849000000012325,-2.9473333333029927,24.39733333336136,6.401801552971328,14.04152809533504,6.144444838570488,10.120980197135685,18000.0,5700.0
8.917999999979997,7.56933333327936,-0.5963333333625087,21.432999999966285,3.626096058270713,8.638085205055768,5.7930951577680805,7.5871262613477874,19800.0,5700.0
9.195999999995763,3.863666666639176,3.298333333319192,11.943333333341855,3.6462659472016568,3.3779916419618417,4.126922143907125,4.342929484601356,0.0,1900.0
5.492999999994197,7.378666666646438,5.071333333326322,15.504333333318243,4.23116426283252,4.872421153535142,7.3321787179103355,6.94459145384145,1800.0,1900.0
4.919999999977165,10.368333333339308,6.486666666667418,19.269333333333805,5.909226120487055,6.011114889418939,14.316173348446679,9.747275511135868,3600.0,1900.0
5.5599999999955685,6.1320000000009145,12.438666666660936,22.90733333335737,4.6301839952826915,5.309133359629008,17.393316934937857,11.720139553733205,5400.0,1900.0
8.30266666667967,10.554666666635626,17.14566666667139,21.471999999995717,5.834828012584805,9.165454294289708,21.225936055468964,15.328881984257343,7200.0,1900.0
7.947000000001481,9.54499999998859,19.83299999999133,21.398666666669897,6.620480979390135,9.148431867896278,26.27773371486569,16.115797413466996,9000.0,1900.0
6.0226666666807205,3.1226666666839265,17.02266666669061,18.820000000019377,6.27207385771856,8.489966850247475,28.317416051855282,18.156339977351056,10800.0,1900.0
5.5903333333517935,7.227000000007422,16.134333333326367,16.950000000015564,5.025778025371006,9.601171044339294,29.06559924235707,16.966779936756705,12600.0,1900.0
2.412333333374761,8.300333333366439,12.011666666680298,19.211000000041167,4.200025637820715,8.131743982923716,21.670772066059932,14.305802522653101,14400.0,1900.0
4.795333333333929,12.532333333297174,13.867333333337228,20.755000000036716,3.165890823856406,7.499893461636664,20.668948489712733,14.321547580806858,16200.0,1900.0
5.9303333333105,10.837666666638768,9.350999999959697,16.649999999955867,2.9790202347680967,6.741573432928438,15.268970989972093,10.836004696953474,18000.0,1900.0
3.5770000000212576,8.3536666666717,3.163333333304763,16.834999999986167,2.2506260852135243,5.621148670653,9.773990899366078,7.321303032391981,19800.0,1900.0
