LF0,HF0,x,y
17.33000000001539,35.12828698183112,0.0,300.0
67.92000000000797,60.44219400991597,750.0,300.0
44.000000000004036,31.190314329020104,1500.0,300.0
6.389999999996121,13.219974914199437,0.0,900.0
82.48999999999285,76.40323104441703,750.0,900.0
74.92000000002719,23.110442880759106,1500.0,900.0
14.299999999991542,38.25370249711268,0.0,1500.0
174.58000000001306,97.14269193124754,750.0,1500.0
31.14000000003614,25.734553986660863,1500.0,1500.0
14.80000000000814,17.547885429921212,0.0,2100.0
73.05999999999813,64.96976077785258,750.0,2100.0
40.25000000002166,18.857372869201654,1500.0,2100.0
24.599999999992406,37.35756287477525,0.0,2700.0
57.89000000000044,53.785157778822686,750.0,2700.0
37.589999999987356,23.44357312039208,1500.0,2700.0
